人物,出现频次
贾宝玉,3785
林黛玉,1313
贾母,1268
凤姐,1199
袭人,1125
王夫人,1002
薛宝钗,815
贾琏,686
平儿,601
贾政,468
薛姨妈,447
紫鹃,425
鸳鸯,422
李纨,361
晴雯,338
刘姥姥,292
贾珍,289
邢夫人,286
尤氏,277
香菱,259
薛蟠,254
麝月,233
贾芸,190
贾赦,188
贾蓉,182
周瑞家的,168
雨村,167
芳官,154
妙玉,146
雪雁,144
赵姨娘,133
莺儿,124
贾环,120
宝蟾,117
薛蝌,103
林妹妹,95
秦钟,91
秋纹,91
尤二姐,91
茗烟,88
林之孝家的,82
史湘云,82
司棋,76
贾兰,75
贾蔷,68
林之孝,61
贾瑞,60
赖大,59
琥珀,58
冯紫英,58
兴儿,57
彩云,56
焙茗,56
巧姐儿,52
翠缕,47
丰儿,43
周瑞,42
柳家的,40
倪二,38
李嬷嬷,37
李贵,37
小红,36
坠儿,36
甄宝玉,36
尤三姐,35
张华,35
板儿,34
贾芹,33
春燕,33
秋桐,33
王仁,32
门子,31
蒋玉菡,29
彩屏,27
藕官,27
智能,26
王子腾,25
王善保家的,25
玻璃,24
珍珠,24
翠墨,24
张道士,24
彩霞,23
马道婆,23
龄官,22
柳湘莲,22
邢岫烟,22
李纹,21
贾雨村,20
佩凤,20
入画,19
拐子,18
云儿,18
文官,18
贾敬,17
蕊官,17
待书,16
焦大,16
詹光,16
水溶,16
四儿,16
尤老娘,16
王一贴,16
王熙凤,15
青儿,15
素云,15
李绮,15
李婶娘,14
封肃,13
吴新登,13
赵嬷嬷,13
花自芳,13
女先儿,13
鲍二家的,13
豆官,13
空空道人,12
金钏,12
赖尚荣,12
俞禄,12
甄士隐,11
林如海,11
贾蓉之妻,11
贾菌,11
锄药,11
周姨娘,11
小童,10
茜雪,10
佳蕙,10
冷子兴,9
张材家的,9
程日兴,9
乌进孝,9
傻大姐,9
墨雨,8
来旺,8
昭儿,8
卜世仁,8
小螺,8
莲花儿,8
喜鸾,8
神瑛侍者,7
戴权,7
玉钏,7
傅试,7
宋嬷嬷,7
葵官,7
夏婆子,7
孙绍祖,7
警幻仙子,6
贾珠,6
冯渊,6
秦业,6
贾琮,6
贾菖,6
贾菱,6
宝珠,6
金文翔,6
隆儿,6
胡君荣,6
翡翠,5
金氏,5
净虚,5
绮霰,5
多浑虫,5
檀云,5
宝官,5
薛宝琴,5
喜儿,5
王信,5
邢德全,5
顽石,4
霍启,4
刘氏,4
贾代儒,4
贾璜,4
贾琼,4
二丫头,4
金哥,4
贾元春,4
夏守忠,4
昭容,4
傅秋芳,4
金彩,4
梅翰林,4
钱启,4
艾官,4
天文生,4
智通,3
王嬷嬷,3
单聘仁,3
贾珖,3
引泉,3
贾迎春,3
同喜,3
同贵,3
臻儿,3
靛儿,3
玉官,3
茗玉,3
史太君,3
篆儿,3
娄氏,3
祝妈,3
叶妈,3
菂官,3
柳五儿,3
钱槐,3
秦显家的,3
善姐,3
庆儿,3
小鹊,3
夏金桂,3
小舍儿,3
茫茫大士,2
渺渺真人,2
封氏,2
贾代化,2
凤辣子,2
贾源,2
李守中,2
王成,2
戴良,2
贾珩,2
贾琛,2
贾璘,2
贾萍,2
贾芝,2
智善,2
胡老爷,2
云光,2
山子野,2
绣凤,2
多姑娘,2
周氏,2
绣鸾,2
扫花,2
伴鹤,2
春纤,2
文杏,2
王济仁,2
周奶娘,2
住儿,2
赖大的母,2
嫣红,2
王荣,2
张若锦,2
赵亦华,2
单大良,2
赵国基,2
朱大娘,2
翠云,2
张妈,2
潘又安,2
炒豆儿,2
夏奶奶,2
王子胜,2
偕鸾,2
绛珠仙子,1
严老爷,1
贾敷,1
贾代善,1
贾敏,1
媚人,1
痴梦仙姑,1
引愁金女,1
度恨菩提,1
余信家的,1
赖二,1
钱华,1
胡氏,1
秦可卿,1
贾敕,1
贾效,1
贾敦,1
贾蓁,1
贾藻,1
贾蘅,1
贾芬,1
贾芳,1
瑞珠,1
牛继宗,1
柳彪,1
柳芳,1
陈翼,1
陈瑞文,1
马魁,1
侯晓明,1
侯孝康,1
石光珠,1
蒋子宁,1
谢鲸,1
戚建辉,1
裘良,1
陈也俊,1
卫若兰,1
李公子,1
吴贵妃,1
卜固修,1
抱琴,1
多官,1
银姐,1
王短腿,1
方椿,1
贾惜春,1
胡斯来,1
冯唐,1
鲍太医,1
双瑞,1
双寿,1
缕儿,1
王君效,1
杏奴,1
史鼐,1
良儿,1
贾演,1
单大娘,1
田妈,1
小吉祥,1
邢忠,1
茄官,1
小鸠儿,1
蝉姐,1
寿儿,1
周太监,1
小霞,1
来喜家的,1
文花,1
银碟,1
