回目,贾宝玉,林黛玉,薛宝钗
1,0,0,0
2,2,1,0
3,32,75,0
4,0,3,2
5,53,6,5
6,14,0,0
7,27,5,6
8,78,24,14
9,34,4,0
10,5,0,0
11,10,0,0
12,1,3,0
13,11,2,0
14,14,0,0
15,55,0,0
16,25,7,1
17,47,0,0
18,39,17,6
19,113,32,1
20,52,22,9
21,49,14,6
22,40,27,21
23,53,18,2
24,37,6,1
25,45,27,7
26,68,17,6
27,27,13,20
28,92,47,18
29,37,33,6
30,67,27,8
31,58,17,6
32,32,16,16
33,35,0,0
34,41,16,23
35,69,15,27
36,45,15,15
37,38,11,28
38,16,13,8
39,23,1,2
40,12,13,7
41,23,7,7
42,9,25,19
43,34,0,0
44,12,1,4
45,20,25,11
46,16,1,2
47,9,0,0
48,11,27,20
49,36,25,15
50,27,22,12
51,40,1,2
52,70,12,2
53,10,1,1
54,34,4,2
55,5,1,6
56,43,0,8
57,58,36,17
58,42,6,3
59,9,6,3
60,23,2,1
61,10,0,0
62,74,19,16
63,56,16,9
64,37,15,5
65,1,1,1
66,11,0,0
67,19,22,15
68,0,0,0
69,1,0,0
70,46,21,12
71,7,3,2
72,2,0,0
73,15,4,5
74,23,1,1
75,12,0,5
76,3,38,0
77,77,0,1
78,65,5,3
79,26,11,2
80,23,0,2
81,65,9,0
82,61,69,2
83,4,28,8
84,44,1,6
85,62,15,12
86,22,16,8
87,38,37,5
88,7,0,0
89,64,41,1
90,11,22,2
91,28,17,8
92,21,3,3
93,17,0,0
94,34,12,0
95,43,7,4
96,44,33,1
97,44,47,16
98,62,28,29
99,11,2,5
100,15,6,13
101,17,0,13
102,9,1,6
103,0,0,10
104,19,3,4
105,5,0,0
106,5,0,2
107,6,0,1
108,50,3,14
109,68,5,41
110,7,0,4
111,8,0,4
112,5,0,3
113,28,0,6
114,23,0,8
115,67,1,14
116,75,3,6
117,36,0,16
118,54,1,22
119,33,0,14
120,38,1,19
