回目,第一名,频次,第二名,频次,第三名,频次
1,雨村,22,空空道人,5,封肃,5
2,雨村,39,封肃,8,冷子兴,5
3,林黛玉,75,贾宝玉,32,王夫人,20
4,雨村,25,门子,19,拐子,17
5,贾宝玉,53,林黛玉,6,薛宝钗,5
6,刘姥姥,61,周瑞家的,35,凤姐,24
7,周瑞家的,50,凤姐,31,贾宝玉,27
8,贾宝玉,78,林黛玉,24,薛姨妈,18
9,贾宝玉,34,秦钟,24,茗烟,15
10,贾蓉,14,尤氏,14,贾珍,10
11,尤氏,26,王夫人,20,贾蓉,13
12,贾瑞,38,凤姐,34,贾蔷,9
13,贾珍,28,凤姐,20,王夫人,14
14,凤姐,48,贾宝玉,14,昭儿,8
15,贾宝玉,55,凤姐,36,秦钟,21
16,凤姐,31,贾琏,27,贾宝玉,25
17,贾宝玉,47,贾政,27,贾珍,11
18,贾宝玉,39,贾母,25,林黛玉,17
19,贾宝玉,113,袭人,52,林黛玉,32
20,贾宝玉,52,林黛玉,22,袭人,14
21,贾宝玉,49,贾琏,30,平儿,27
22,贾宝玉,40,贾母,32,林黛玉,27
23,贾宝玉,53,林黛玉,18,王夫人,14
24,贾芸,62,贾宝玉,37,倪二,16
25,贾宝玉,45,王夫人,28,林黛玉,27
26,贾宝玉,68,贾芸,25,林黛玉,17
27,贾宝玉,27,薛宝钗,20,凤姐,15
28,贾宝玉,92,林黛玉,47,薛蟠,29
29,贾母,40,贾宝玉,37,林黛玉,33
30,贾宝玉,67,林黛玉,27,袭人,14
31,贾宝玉,58,袭人,36,翠缕,21
32,袭人,35,贾宝玉,32,史湘云,16
33,贾宝玉,35,贾政,16,王夫人,12
34,袭人,51,贾宝玉,41,薛宝钗,23
35,贾宝玉,69,莺儿,36,薛宝钗,27
36,贾宝玉,45,袭人,41,王夫人,18
37,贾宝玉,38,薛宝钗,28,李纨,20
38,凤姐,18,贾母,16,贾宝玉,16
39,刘姥姥,36,平儿,30,贾母,24
40,鸳鸯,62,刘姥姥,60,贾母,44
41,刘姥姥,49,妙玉,26,贾宝玉,23
42,林黛玉,25,刘姥姥,22,薛宝钗,19
43,贾宝玉,34,贾母,23,茗烟,23
44,平儿,51,贾琏,34,贾母,22
45,林黛玉,25,贾宝玉,20,李纨,13
46,鸳鸯,48,邢夫人,25,平儿,22
47,薛蟠,32,贾母,22,薛姨妈,18
48,香菱,39,林黛玉,27,薛宝钗,20
49,贾宝玉,36,林黛玉,25,李纨,21
50,贾宝玉,27,李纨,26,林黛玉,22
51,贾宝玉,40,晴雯,30,麝月,30
52,贾宝玉,70,晴雯,44,麝月,28
53,贾母,31,贾珍,26,贾蓉,18
54,贾宝玉,34,贾母,33,麝月,9
55,平儿,27,李纨,18,赵姨娘,13
56,贾宝玉,43,李纨,16,平儿,12
57,紫鹃,60,贾宝玉,58,林黛玉,36
58,贾宝玉,42,芳官,31,袭人,15
59,莺儿,25,春燕,20,袭人,11
60,芳官,42,贾宝玉,23,赵姨娘,22
61,平儿,24,芳官,16,林之孝家的,13
62,贾宝玉,74,香菱,38,袭人,36
63,贾宝玉,56,袭人,36,芳官,23
64,贾琏,53,贾宝玉,37,贾蓉,24
65,贾琏,37,贾珍,16,尤三姐,15
66,贾琏,28,贾宝玉,11,尤二姐,11
67,凤姐,41,兴儿,38,林黛玉,22
68,凤姐,33,尤二姐,19,贾蓉,18
69,凤姐,39,贾琏,37,尤二姐,28
70,贾宝玉,46,林黛玉,21,薛宝钗,12
71,贾母,27,尤氏,27,鸳鸯,26
72,贾琏,38,凤姐,31,鸳鸯,27
73,贾母,17,贾宝玉,15,邢夫人,15
74,凤姐,58,王夫人,24,贾宝玉,23
75,尤氏,43,贾母,36,贾珍,17
76,林黛玉,38,贾母,23,妙玉,10
77,贾宝玉,77,王夫人,45,晴雯,37
78,贾宝玉,65,王夫人,17,晴雯,14
79,贾宝玉,26,香菱,18,薛蟠,12
80,香菱,40,薛蟠,32,宝蟾,24
81,贾宝玉,65,王夫人,20,贾母,15
82,林黛玉,69,贾宝玉,61,紫鹃,35
83,林黛玉,28,紫鹃,25,贾母,21
84,贾宝玉,44,贾母,39,凤姐,24
85,贾宝玉,62,袭人,32,薛姨妈,24
86,贾宝玉,22,薛姨妈,21,林黛玉,16
87,贾宝玉,38,林黛玉,37,妙玉,36
88,凤姐,33,贾芸,31,贾珍,18
89,贾宝玉,64,林黛玉,41,紫鹃,30
90,紫鹃,28,凤姐,26,林黛玉,22
91,贾宝玉,28,薛蝌,28,宝蟾,24
92,冯紫英,31,贾宝玉,21,袭人,13
93,贾琏,27,赖大,23,贾芹,18
94,贾宝玉,34,袭人,25,王夫人,21
95,贾宝玉,43,贾母,31,袭人,25
96,贾宝玉,44,林黛玉,33,王夫人,32
97,紫鹃,59,林黛玉,47,贾宝玉,44
98,贾宝玉,62,薛宝钗,29,贾母,29
99,贾政,24,薛蟠,12,贾宝玉,11
100,薛蝌,19,贾宝玉,15,薛宝钗,13
101,凤姐,62,贾琏,26,平儿,20
102,贾蓉,14,贾珍,12,贾赦,11
103,香菱,44,宝蟾,37,薛姨妈,26
104,倪二,22,雨村,21,贾宝玉,19
105,贾政,27,贾赦,12,贾琏,10
106,贾母,17,贾政,15,贾琏,14
107,贾母,36,贾政,21,贾赦,13
